ID	NameB	TF
335	野中	11,884
336	梅田	11,822
337	堀江	11,816
338	村井	11,791
339	三木	11,655
340	川端	11,436
341	岸	11,414
342	大村	11,404
343	梶原	11,326
344	日高	11,290
345	金沢	11,032
346	井口	10,969
347	西本	10,964
348	大場	10,958
349	大木	10,909
350	向井	10,861
351	榊原	10,855
352	藤川	10,723
353	大内	10,704
354	竹中	10,704
355	庄司	10,693
356	川原	10,693
357	藤沢	10,668
358	吉原	10,649
359	松島	10,611
360	塚田	10,609
361	吉本	10,592
362	藤岡	10,481
363	竹下	10,478
364	下田	10,406
365	藤村	10,402
366	宮内	10,377
367	安井	10,375
368	竹本	10,353
369	谷川	10,347
370	栗田	10,306
371	広田	10,303
372	窪田	10,277
373	福本	10,277
374	小谷	10,275
375	石黒	10,274
376	宇野	10,250
377	茂木	10,172
378	柳沢	10,166
379	奥野	10,069
380	緒方	10,069
381	北野	10,052
382	嶋田	9,991
383	高島	9,976
384	平川	9,925
385	宮原	9,878
386	三輪	9,869
387	丹羽	9,868
388	亀井	9,847
389	宮沢	9,838
390	下村	9,821
391	高井	9,799
392	山村	9,731
393	川本	9,720
394	出口	9,676
395	古谷	9,667
396	藤野	9,666
397	大城	9,632
398	青柳	9,614
399	小森	9,603
400	竹村	9,601
401	長野	9,600
402	長島	9,587
403	荻野	9,560
404	田原	9,379
405	高瀬	9,349
406	大平	9,316
407	稲田	9,314
408	金城	9,257
409	宮城	9,223
410	吉沢	9,187
411	福岡	9,170
412	福永	9,146
413	筒井	9,118
414	横井	9,106
415	長岡	9,083
416	黒沢	9,074
417	北原	9,049
418	林田	9,049
419	平松	9,046
420	溝口	9,028
421	大田	8,984
422	山岡	8,955
423	越智	8,915
424	大原	8,890
425	相馬	8,876
426	武井	8,871
427	篠崎	8,842
428	柳田	8,813
429	手塚	8,783
430	鶴田	8,733
431	富永	8,719
432	石山	8,717
433	永野	8,659
434	高松	8,637
435	堀川	8,634
436	二宮	8,631
437	臼井	8,629
438	比嘉	8,601
439	冨田	8,599
440	湯浅	8,567
441	浅田	8,554
442	入江	8,524
443	園田	8,518
444	沼田	8,486
445	石崎	8,486
446	小澤	8,457
447	川野	8,448
448	片桐	8,386
449	谷本	8,368
450	平岡	8,367
451	瀬戸	8,363
452	篠田	8,360
453	杉原	8,358
454	根岸	8,343
455	千田	8,271
456	小出	8,264
457	大槻	8,258
458	池上	8,250
459	笠井	8,246
460	花田	8,210
461	田畑	8,210
462	加納	8,182
463	西沢	8,170
464	長沢	8,159
465	深沢	8,103
466	小坂	8,082
467	志村	8,071
468	澤田	8,061
469	日野	8,055
470	西原	8,049
471	堀口	8,046
472	倉田	8,030
473	菅	8,023
474	野沢	7,979
475	田上	7,967
476	新谷	7,951
477	松野	7,944
478	福原	7,910
479	村瀬	7,909
480	森岡	7,874
481	河原	7,854
482	柏木	7,844
483	徳田	7,840
484	矢島	7,820
485	浜口	7,723
486	吉井	7,722
487	畑中	7,650
488	島崎	7,611
489	岩瀬	7,600
490	中本	7,594
491	三谷	7,591
492	小柳	7,566
493	白川	7,560
494	大崎	7,557
495	米山	7,507
496	芳賀	7,506
497	渡邊	7,502
498	内海	7,500
499	北島	7,472
500	原口	7,453
501	相沢	7,406
502	大井	7,371
503	難波	7,359
504	秋元	7,293
505	福山	7,284
506	川畑	7,280
507	木原	7,269
508	坪井	7,250
509	秋田	7,249
510	植木	7,228
511	川瀬	7,222
512	皆川	7,190
513	荻原	7,189
514	岩下	7,182
515	今泉	7,177
516	磯部	7,164
517	浜崎	7,163
518	河内	7,123
519	三井	7,102
520	大友	7,101
521	浜野	7,090
522	大坪	7,088
523	細谷	7,077
524	畑	7,074
525	細田	7,068
526	吉永	7,038
527	佐竹	7,035
528	長井	7,020
529	小嶋	7,013
530	古屋	7,001
531	井出	6,989
532	塩田	6,969
533	三村	6,955
534	遠山	6,953
535	井手	6,906
536	辻本	6,894
537	岸田	6,886
538	平林	6,882
539	植村	6,877
540	河田	6,865
541	若松	6,839
542	草野	6,806
543	三島	6,792
544	村岡	6,790
545	松川	6,788
546	橘	6,783
547	亀山	6,779
548	早坂	6,771
549	真鍋	6,769
550	清野	6,742
551	橋口	6,728
552	保坂	6,724
553	相原	6,722
554	栗山	6,702
555	高村	6,682
556	堀井	6,678
557	水上	6,672
558	水口	6,655
559	渡邉	6,649
560	川合	6,645
561	瀬川	6,638
562	玉井	6,633
563	藤森	6,606
564	奈良	6,604
565	志賀	6,579
566	葛西	6,576
567	半田	6,531
568	尾形	6,526
569	高岡	6,520
570	朝倉	6,520
571	平	6,494
572	中里	6,471
573	亀田	6,470
574	進藤	6,452
575	神山	6,446
576	狩野	6,444
577	立石	6,433
578	那須	6,432
579	柳	6,428
580	板垣	6,413
581	寺島	6,402
582	坂下	6,400
583	有馬	6,378
584	河本	6,371
585	市村	6,349
586	大沼	6,335
587	門脇	6,318
588	宮島	6,308
589	高見	6,301
590	植松	6,299
591	高柳	6,289
592	織田	6,286
593	武内	6,274
594	宮地	6,272
595	下山	6,269
596	寺本	6,265
597	大江	6,259
598	齊藤	6,257
599	江藤	6,244
600	大澤	6,243
601	大津	6,227
602	北山	6,186
603	有田	6,177
604	松沢	6,171
605	高原	6,162
606	島村	6,158
607	藤崎	6,140
608	毛利	6,137
609	三原	6,106
610	松木	6,081
611	土居	6,075
612	三橋	6,066
613	木内	6,065
614	野上	6,049
615	坂上	6,017
616	立花	5,961
617	前原	5,930
618	田崎	5,930
619	浅見	5,929
620	中根	5,922
621	久野	5,915
622	深谷	5,915
623	牧	5,897
624	富樫	5,886
625	平尾	5,867
626	柴崎	5,817
627	今田	5,813
628	守屋	5,809
629	川井	5,808
630	岩佐	5,799
631	海野	5,782
632	関谷	5,778
633	滝本	5,771
634	長瀬	5,768
635	高尾	5,750
636	市原	5,743
637	長谷	5,724
638	外山	5,692
639	大倉	5,690
640	和泉	5,686
641	岩永	5,681
642	内野	5,679
643	飯野	5,671
644	石丸	5,658
645	長谷部	5,651
646	塚原	5,645
647	小寺	5,566
648	米沢	5,547
649	西谷	5,545
650	黒岩	5,543
651	菅谷	5,542
652	成瀬	5,536
653	矢部	5,536
654	金山	5,534
655	鳥居	5,524
656	金森	5,517
657	島	5,501
658	石垣	5,494
659	正木	5,486
660	秦	5,480
661	高崎	5,475
662	石本	5,472
663	金谷	5,470
664	宮脇	5,459
665	滝口	5,452
666	井田	5,449
667	田川	5,448
668	奥	5,445
669	宇佐美	5,443
670	上山	5,425
671	阪本	5,409
672	小関	5,402
673	末永	5,399
674	門田	5,398
675	山野	5,396
676	永山	5,375
677	小宮	5,361
678	坂元	5,356
679	宍戸	5,352
680	小室	5,336
681	木田	5,334
682	野本	5,321
683	三田	5,320
684	中澤	5,319
685	小畑	5,316
686	江川	5,292
687	杉村	5,291
688	板倉	5,271
689	諏訪	5,252
690	森谷	5,247
691	江崎	5,239
692	岩渕	5,225
693	豊島	5,210
694	小杉	5,208
695	山上	5,202
